source_a,source_b,pair,period,divergence
bbc.co.uk,cnn.com,bbc.co.uk ↔ cnn.com,2020-01_02,0.08432948589324951
bbc.co.uk,cnn.com,bbc.co.uk ↔ cnn.com,2020-03_04,0.09389138221740723
bbc.co.uk,cnn.com,bbc.co.uk ↔ cnn.com,2020-05_06,0.10401511192321777
bbc.co.uk,cnn.com,bbc.co.uk ↔ cnn.com,2020-07_08,0.1444716453552246
bbc.co.uk,cnn.com,bbc.co.uk ↔ cnn.com,2020-09_10,0.14831876754760742
bbc.co.uk,cnn.com,bbc.co.uk ↔ cnn.com,2020-11_12,0.10206788778305054
bbc.co.uk,cnn.com,bbc.co.uk ↔ cnn.com,2021-01_02,0.11639630794525146
bbc.co.uk,cnn.com,bbc.co.uk ↔ cnn.com,2021-03_04,0.1465703248977661
bbc.co.uk,cnn.com,bbc.co.uk ↔ cnn.com,2021-05_06,0.13746589422225952
bbc.co.uk,cnn.com,bbc.co.uk ↔ cnn.com,2021-07_08,0.1577320098876953
bbc.co.uk,cnn.com,bbc.co.uk ↔ cnn.com,2021-09_10,0.16775423288345337
bbc.co.uk,cnn.com,bbc.co.uk ↔ cnn.com,2021-11_12,0.15263420343399048
bbc.co.uk,cnn.com,bbc.co.uk ↔ cnn.com,2022-01_02,0.12291115522384644
bbc.co.uk,cnn.com,bbc.co.uk ↔ cnn.com,2022-03_04,0.21554678678512573
bbc.co.uk,cnn.com,bbc.co.uk ↔ cnn.com,2022-05_06,0.22702127695083618
bbc.co.uk,cnn.com,bbc.co.uk ↔ cnn.com,2022-07_08,0.22084003686904907
bbc.co.uk,theguardian.com,bbc.co.uk ↔ theguardian.com,2020-01_02,0.042920589447021484
bbc.co.uk,theguardian.com,bbc.co.uk ↔ theguardian.com,2020-03_04,0.04153174161911011
bbc.co.uk,theguardian.com,bbc.co.uk ↔ theguardian.com,2020-05_06,0.047879576683044434
bbc.co.uk,theguardian.com,bbc.co.uk ↔ theguardian.com,2020-07_08,0.059117138385772705
bbc.co.uk,theguardian.com,bbc.co.uk ↔ theguardian.com,2020-09_10,0.07158595323562622
bbc.co.uk,theguardian.com,bbc.co.uk ↔ theguardian.com,2020-11_12,0.04051738977432251
bbc.co.uk,theguardian.com,bbc.co.uk ↔ theguardian.com,2021-01_02,0.07010912895202637
bbc.co.uk,theguardian.com,bbc.co.uk ↔ theguardian.com,2021-03_04,0.07432436943054199
bbc.co.uk,theguardian.com,bbc.co.uk ↔ theguardian.com,2021-05_06,0.08187103271484375
bbc.co.uk,theguardian.com,bbc.co.uk ↔ theguardian.com,2021-07_08,0.0896492600440979
bbc.co.uk,theguardian.com,bbc.co.uk ↔ theguardian.com,2021-09_10,0.0933372974395752
bbc.co.uk,theguardian.com,bbc.co.uk ↔ theguardian.com,2021-11_12,0.08549970388412476
bbc.co.uk,theguardian.com,bbc.co.uk ↔ theguardian.com,2022-01_02,0.07636851072311401
bbc.co.uk,theguardian.com,bbc.co.uk ↔ theguardian.com,2022-03_04,0.15776169300079346
bbc.co.uk,theguardian.com,bbc.co.uk ↔ theguardian.com,2022-05_06,0.13480257987976074
bbc.co.uk,theguardian.com,bbc.co.uk ↔ theguardian.com,2022-07_08,0.11013656854629517
bbc.co.uk,theguardian.com,bbc.co.uk ↔ theguardian.com,2022-09_10,0.15481454133987427
bbc.co.uk,theguardian.com,bbc.co.uk ↔ theguardian.com,2022-11_12,0.08298790454864502
bbc.co.uk,washingtonpost.com,bbc.co.uk ↔ washingtonpost.com,2020-01_02,0.09014850854873657
bbc.co.uk,washingtonpost.com,bbc.co.uk ↔ washingtonpost.com,2020-03_04,0.1318603754043579
bbc.co.uk,washingtonpost.com,bbc.co.uk ↔ washingtonpost.com,2020-05_06,0.13598746061325073
bbc.co.uk,washingtonpost.com,bbc.co.uk ↔ washingtonpost.com,2020-07_08,0.1522248387336731
bbc.co.uk,washingtonpost.com,bbc.co.uk ↔ washingtonpost.com,2020-09_10,0.15624654293060303
bbc.co.uk,washingtonpost.com,bbc.co.uk ↔ washingtonpost.com,2020-11_12,0.12359786033630371
cnn.com,theguardian.com,cnn.com ↔ theguardian.com,2020-01_02,0.03484898805618286
cnn.com,theguardian.com,cnn.com ↔ theguardian.com,2020-03_04,0.04000741243362427
cnn.com,theguardian.com,cnn.com ↔ theguardian.com,2020-05_06,0.05000460147857666
cnn.com,theguardian.com,cnn.com ↔ theguardian.com,2020-07_08,0.0705798864364624
cnn.com,theguardian.com,cnn.com ↔ theguardian.com,2020-09_10,0.06571429967880249
cnn.com,theguardian.com,cnn.com ↔ theguardian.com,2020-11_12,0.06607776880264282
cnn.com,theguardian.com,cnn.com ↔ theguardian.com,2021-01_02,0.050899386405944824
cnn.com,theguardian.com,cnn.com ↔ theguardian.com,2021-03_04,0.05605208873748779
cnn.com,theguardian.com,cnn.com ↔ theguardian.com,2021-05_06,0.05583995580673218
cnn.com,theguardian.com,cnn.com ↔ theguardian.com,2021-07_08,0.06823855638504028
cnn.com,theguardian.com,cnn.com ↔ theguardian.com,2021-09_10,0.07633304595947266
cnn.com,theguardian.com,cnn.com ↔ theguardian.com,2021-11_12,0.06090867519378662
cnn.com,theguardian.com,cnn.com ↔ theguardian.com,2022-01_02,0.06630527973175049
cnn.com,theguardian.com,cnn.com ↔ theguardian.com,2022-03_04,0.10788089036941528
cnn.com,theguardian.com,cnn.com ↔ theguardian.com,2022-05_06,0.1454486846923828
cnn.com,theguardian.com,cnn.com ↔ theguardian.com,2022-07_08,0.12603121995925903
cnn.com,washingtonpost.com,cnn.com ↔ washingtonpost.com,2020-01_02,0.023404419422149658
cnn.com,washingtonpost.com,cnn.com ↔ washingtonpost.com,2020-03_04,0.0326462984085083
cnn.com,washingtonpost.com,cnn.com ↔ washingtonpost.com,2020-05_06,0.0471423864364624
cnn.com,washingtonpost.com,cnn.com ↔ washingtonpost.com,2020-07_08,0.03584390878677368
cnn.com,washingtonpost.com,cnn.com ↔ washingtonpost.com,2020-09_10,0.0268174409866333
cnn.com,washingtonpost.com,cnn.com ↔ washingtonpost.com,2020-11_12,0.04389530420303345
theguardian.com,washingtonpost.com,theguardian.com ↔ washingtonpost.com,2020-01_02,0.03455156087875366
theguardian.com,washingtonpost.com,theguardian.com ↔ washingtonpost.com,2020-03_04,0.05479782819747925
theguardian.com,washingtonpost.com,theguardian.com ↔ washingtonpost.com,2020-05_06,0.06899088621139526
theguardian.com,washingtonpost.com,theguardian.com ↔ washingtonpost.com,2020-07_08,0.08032351732254028
theguardian.com,washingtonpost.com,theguardian.com ↔ washingtonpost.com,2020-09_10,0.06334930658340454
theguardian.com,washingtonpost.com,theguardian.com ↔ washingtonpost.com,2020-11_12,0.07634377479553223
